px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
145.461	19.169	3.18222	0.42852	0.059964	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.69306
148.227	20.4683	3.38099	0.4111	0.00879725	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.34334
148.209	20.4702	3.19279	0.48314	0.138138	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.398374
150.674	22.1082	3.31082	0.632777	0.144327	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.100663
150.669	22.1036	3.36895	0.588283	0.0609755	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.117135
153.412	23.4929	3.34879	0.404106	-0.0966136	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.186293
153.388	23.4866	3.19786	0.46825	0.0196554	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.354952
156.035	24.8049	3.29191	0.429349	-0.0183997	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0971392
156.022	24.808	3.07765	0.504619	0.116963	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.469104
158.87	26.0207	3.32403	0.319035	-0.079063	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.859044
158.895	26.0236	3.24915	0.328712	-0.0501417	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.342975
161.414	27.421	3.27758	0.541971	0.11768	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.119909
161.443	27.432	3.17915	0.590923	0.204772	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.435685
163.639	28.7833	2.93532	0.590877	0.0758934	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.310429
163.749	28.7993	3.06519	0.53118	0.000210611	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.90056
166.764	30.1855	3.57876	0.300315	-0.152108	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.12193
166.715	30.1712	3.23489	0.369747	-0.0275735	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.38034
169.105	31.3716	3.18191	0.475781	0.057833	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0801027
169.123	31.3773	3.10574	0.501761	0.104997	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.196677
172.137	32.3323	3.34132	0.164078	-0.180861	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.13843
172.135	32.3228	3.10067	0.145131	-0.201794	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.559834
174.648	33.4519	3.06727	0.488236	0.146166	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.506594
174.629	33.4539	2.95397	0.523931	0.203877	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.150327
177.031	34.2135	2.78794	0.28209	-0.0808559	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.439023
177.045	34.2127	2.69869	0.280964	-0.0708056	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.202568
180.095	35.1308	3.15891	0.251723	-0.043962	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.13342
179.993	35.113	2.79746	0.287436	0.00431996	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.72972
182.584	35.7509	2.93134	0.201477	-0.0523508	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.215745
182.496	35.7334	2.6786	0.209575	-0.0455005	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.95293
184.73	36.5104	2.71095	0.375355	0.08732	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.0804506
184.727	36.516	2.49131	0.419359	0.156682	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.349595
186.935	36.9474	2.49363	0.115413	-0.132718	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.375031
187.001	36.9595	2.53499	0.09865	-0.143654	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.11493
189.446	37.3983	2.69608	0.209455	0.0173061	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.384585
189.474	37.4063	2.46806	0.229037	0.0358147	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.786519
191.726	37.567	2.54038	0.00477274	-0.126657	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.156984
191.697	37.5554	2.36215	-0.029937	-0.18104	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.352547
193.486	37.2788	2.22993	-0.236603	-0.198845	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.143923
193.505	37.2833	2.25445	-0.22596	-0.185795	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0838456
195.933	37.391	2.57048	0.235264	0.224531	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.98843
195.826	37.3955	2.15861	0.261973	0.266176	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.85734
